database	gene_set	EntrezID	ensembl_gene_id
HALLMARK	ADIPOGENESIS	51635	ENSG00000100612
HALLMARK	ADIPOGENESIS	3977	ENSG00000113594
HALLMARK	ADIPOGENESIS	10113	ENSG00000138073
HALLMARK	ADIPOGENESIS	5733	ENSG00000050628
HALLMARK	ADIPOGENESIS	10243	ENSG00000171723
HALLMARK	ADIPOGENESIS	8082	ENSG00000123096
HALLMARK	ADIPOGENESIS	1738	ENSG00000091140
HALLMARK	ADIPOGENESIS	80760	ENSG00000123243
HALLMARK	ADIPOGENESIS	9936	ENSG00000241399
HALLMARK	ADIPOGENESIS	64225	ENSG00000119787
HALLMARK	ADIPOGENESIS	137964	ENSG00000158669
HALLMARK	ADIPOGENESIS	10162	ENSG00000111684
HALLMARK	ADIPOGENESIS	7086	ENSG00000163931
HALLMARK	ADIPOGENESIS	7384	ENSG00000010256
HALLMARK	ADIPOGENESIS	847	ENSG00000121691
HALLMARK	ADIPOGENESIS	4958	ENSG00000127083
HALLMARK	ADIPOGENESIS	2632	ENSG00000114480
HALLMARK	ADIPOGENESIS	1737	ENSG00000150768
HALLMARK	ADIPOGENESIS	948	ENSG00000135218
HALLMARK	ADIPOGENESIS	949	ENSG00000073060
HALLMARK	ADIPOGENESIS	5211	ENSG00000141959
HALLMARK	ADIPOGENESIS	226	ENSG00000149925
HALLMARK	ADIPOGENESIS	3419	ENSG00000166411
HALLMARK	ADIPOGENESIS	11176	ENSG00000076108
HALLMARK	ADIPOGENESIS	56894	ENSG00000160216
HALLMARK	ADIPOGENESIS	3910	ENSG00000112769
HALLMARK	ADIPOGENESIS	128338	ENSG00000156171
HALLMARK	ADIPOGENESIS	4259	ENSG00000143198
HALLMARK	ADIPOGENESIS	483	ENSG00000069849
HALLMARK	ADIPOGENESIS	284	ENSG00000154188
HALLMARK	ADIPOGENESIS	2040	ENSG00000148175
HALLMARK	ADIPOGENESIS	23344	ENSG00000139641
HALLMARK	ADIPOGENESIS	27069	ENSG00000165678
HALLMARK	ADIPOGENESIS	2879	ENSG00000167468
HALLMARK	ADIPOGENESIS	29103	ENSG00000120675
HALLMARK	ADIPOGENESIS	7423	ENSG00000173511
HALLMARK	ADIPOGENESIS	3459	ENSG00000027697
HALLMARK	ADIPOGENESIS	51805	ENSG00000132423
HALLMARK	ADIPOGENESIS	112	ENSG00000174233
HALLMARK	ADIPOGENESIS	1580	ENSG00000142973
HALLMARK	ADIPOGENESIS	5495	ENSG00000138032
HALLMARK	ADIPOGENESIS	369	ENSG00000078061
HALLMARK	ADIPOGENESIS	1282	ENSG00000187498
