database	gene_set	EntrezID	ensembl_gene_id
KEGG	ABC_TRANSPORTERS	340273	ENSG00000004846
KEGG	ABC_TRANSPORTERS	1244	ENSG00000023839
KEGG	ABC_TRANSPORTERS	20	ENSG00000107331
KEGG	ABC_TRANSPORTERS	5825	ENSG00000117528
KEGG	ABC_TRANSPORTERS	8647	ENSG00000073734
KEGG	ABC_TRANSPORTERS	21	ENSG00000167972
KEGG	ABC_TRANSPORTERS	5826	ENSG00000119688
KEGG	ABC_TRANSPORTERS	10349	ENSG00000154263
KEGG	ABC_TRANSPORTERS	11194	ENSG00000197150
KEGG	ABC_TRANSPORTERS	85320	ENSG00000121270
KEGG	ABC_TRANSPORTERS	23461	ENSG00000154265
KEGG	ABC_TRANSPORTERS	23460	ENSG00000154262
KEGG	ABC_TRANSPORTERS	64240	ENSG00000138075
KEGG	ABC_TRANSPORTERS	6891	ENSG00000204267
KEGG	ABC_TRANSPORTERS	19	ENSG00000165029
KEGG	ABC_TRANSPORTERS	94160	ENSG00000140798
KEGG	ABC_TRANSPORTERS	215	ENSG00000101986
KEGG	ABC_TRANSPORTERS	64137	ENSG00000172350
KEGG	ABC_TRANSPORTERS	10350	ENSG00000154258
KEGG	ABC_TRANSPORTERS	6890	ENSG00000168394
KEGG	ABC_TRANSPORTERS	10347	ENSG00000064687
KEGG	ABC_TRANSPORTERS	368	ENSG00000091262
KEGG	ABC_TRANSPORTERS	10060	ENSG00000069431
KEGG	ABC_TRANSPORTERS	23456	ENSG00000135776
KEGG	ABC_TRANSPORTERS	89845	ENSG00000124574
KEGG	ABC_TRANSPORTERS	6833	ENSG00000006071
KEGG	ABC_TRANSPORTERS	24	ENSG00000198691
KEGG	ABC_TRANSPORTERS	10351	ENSG00000141338
KEGG	ABC_TRANSPORTERS	22	ENSG00000131269
KEGG	ABC_TRANSPORTERS	154664	ENSG00000179869
KEGG	ABC_TRANSPORTERS	10058	ENSG00000115657
KEGG	ABC_TRANSPORTERS	8714	ENSG00000108846
KEGG	ABC_TRANSPORTERS	225	ENSG00000173208
KEGG	ABC_TRANSPORTERS	5243	ENSG00000085563
KEGG	ABC_TRANSPORTERS	1080	ENSG00000001626
KEGG	ABC_TRANSPORTERS	5244	ENSG00000005471
KEGG	ABC_TRANSPORTERS	9619	ENSG00000160179
KEGG	ABC_TRANSPORTERS	26154	ENSG00000144452
KEGG	ABC_TRANSPORTERS	10057	ENSG00000114770
KEGG	ABC_TRANSPORTERS	10257	ENSG00000125257
KEGG	ABC_TRANSPORTERS	9429	ENSG00000118777
KEGG	ABC_TRANSPORTERS	4363	ENSG00000103222
KEGG	ABC_TRANSPORTERS	64241	ENSG00000143921
KEGG	ABC_TRANSPORTERS	23457	ENSG00000150967
KEGG	ACUTE_MYELOID_LEUKEMIA	7704	ENSG00000109906
KEGG	ACUTE_MYELOID_LEUKEMIA	6198	ENSG00000108443
KEGG	ACUTE_MYELOID_LEUKEMIA	6199	ENSG00000175634
KEGG	ACUTE_MYELOID_LEUKEMIA	6774	ENSG00000168610
KEGG	ACUTE_MYELOID_LEUKEMIA	5605	ENSG00000126934
KEGG	ACUTE_MYELOID_LEUKEMIA	3845	ENSG00000133703
KEGG	ACUTE_MYELOID_LEUKEMIA	5291	ENSG00000051382
KEGG	ACUTE_MYELOID_LEUKEMIA	5293	ENSG00000171608
KEGG	ACUTE_MYELOID_LEUKEMIA	5371	ENSG00000140464
KEGG	ACUTE_MYELOID_LEUKEMIA	208	ENSG00000105221
KEGG	ACUTE_MYELOID_LEUKEMIA	5595	ENSG00000102882
KEGG	ACUTE_MYELOID_LEUKEMIA	6777	ENSG00000173757
KEGG	ACUTE_MYELOID_LEUKEMIA	5296	ENSG00000105647
KEGG	ACUTE_MYELOID_LEUKEMIA	6776	ENSG00000126561
KEGG	ACUTE_MYELOID_LEUKEMIA	5604	ENSG00000169032
KEGG	ACUTE_MYELOID_LEUKEMIA	8900	ENSG00000133101
KEGG	ACUTE_MYELOID_LEUKEMIA	6655	ENSG00000100485
KEGG	ACUTE_MYELOID_LEUKEMIA	6934	ENSG00000148737
KEGG	ACUTE_MYELOID_LEUKEMIA	673	ENSG00000157764
KEGG	ACUTE_MYELOID_LEUKEMIA	8517	ENSG00000269335
KEGG	ACUTE_MYELOID_LEUKEMIA	207	ENSG00000142208
KEGG	ACUTE_MYELOID_LEUKEMIA	2475	ENSG00000198793
KEGG	ACUTE_MYELOID_LEUKEMIA	1978	ENSG00000187840
KEGG	ACUTE_MYELOID_LEUKEMIA	595	ENSG00000110092
KEGG	ACUTE_MYELOID_LEUKEMIA	3551	ENSG00000104365
KEGG	ACUTE_MYELOID_LEUKEMIA	5894	ENSG00000132155
KEGG	ACUTE_MYELOID_LEUKEMIA	5290	ENSG00000121879
KEGG	ACUTE_MYELOID_LEUKEMIA	572	ENSG00000002330
KEGG	ACUTE_MYELOID_LEUKEMIA	2322	ENSG00000122025
KEGG	ACUTE_MYELOID_LEUKEMIA	5467	ENSG00000112033
KEGG	ACUTE_MYELOID_LEUKEMIA	10000	ENSG00000117020
KEGG	ACUTE_MYELOID_LEUKEMIA	3265	ENSG00000174775
KEGG	ACUTE_MYELOID_LEUKEMIA	83439	ENSG00000152284
KEGG	ACUTE_MYELOID_LEUKEMIA	51176	ENSG00000138795
KEGG	ACUTE_MYELOID_LEUKEMIA	2885	ENSG00000177885
KEGG	ACUTE_MYELOID_LEUKEMIA	5970	ENSG00000173039
KEGG	ACUTE_MYELOID_LEUKEMIA	6654	ENSG00000115904
KEGG	ACUTE_MYELOID_LEUKEMIA	5594	ENSG00000100030
KEGG	ACUTE_MYELOID_LEUKEMIA	4609	ENSG00000136997
KEGG	ACUTE_MYELOID_LEUKEMIA	1147	ENSG00000213341
KEGG	ACUTE_MYELOID_LEUKEMIA	8503	ENSG00000117461
KEGG	ACUTE_MYELOID_LEUKEMIA	23533	ENSG00000141506
KEGG	ACUTE_MYELOID_LEUKEMIA	369	ENSG00000078061
KEGG	ACUTE_MYELOID_LEUKEMIA	5295	ENSG00000145675
KEGG	ACUTE_MYELOID_LEUKEMIA	6932	ENSG00000081059
KEGG	ACUTE_MYELOID_LEUKEMIA	6688	ENSG00000066336
KEGG	ACUTE_MYELOID_LEUKEMIA	3728	ENSG00000173801
KEGG	ACUTE_MYELOID_LEUKEMIA	862	ENSG00000079102
KEGG	ACUTE_MYELOID_LEUKEMIA	5294	ENSG00000105851
KEGG	ACUTE_MYELOID_LEUKEMIA	4790	ENSG00000109320
KEGG	ACUTE_MYELOID_LEUKEMIA	1050	ENSG00000245848
KEGG	ACUTE_MYELOID_LEUKEMIA	11040	ENSG00000102096
KEGG	ACUTE_MYELOID_LEUKEMIA	5292	ENSG00000137193
KEGG	ACUTE_MYELOID_LEUKEMIA	4893	ENSG00000213281
KEGG	ACUTE_MYELOID_LEUKEMIA	5914	ENSG00000131759
KEGG	ACUTE_MYELOID_LEUKEMIA	3815	ENSG00000157404
KEGG	ACUTE_MYELOID_LEUKEMIA	861	ENSG00000159216
KEGG	ADHERENS_JUNCTION	51701	ENSG00000087095
KEGG	ADHERENS_JUNCTION	7454	ENSG00000015285
KEGG	ADHERENS_JUNCTION	4008	ENSG00000136153
KEGG	ADHERENS_JUNCTION	1457	ENSG00000101266
KEGG	ADHERENS_JUNCTION	5879	ENSG00000136238
KEGG	ADHERENS_JUNCTION	9855	ENSG00000006607
KEGG	ADHERENS_JUNCTION	6714	ENSG00000197122
KEGG	ADHERENS_JUNCTION	7414	ENSG00000035403
KEGG	ADHERENS_JUNCTION	83439	ENSG00000152284
KEGG	ADHERENS_JUNCTION	7082	ENSG00000104067
KEGG	ADHERENS_JUNCTION	387	ENSG00000067560
KEGG	ADHERENS_JUNCTION	6885	ENSG00000135341
KEGG	ADHERENS_JUNCTION	1500	ENSG00000198561
KEGG	ADHERENS_JUNCTION	1496	ENSG00000066032
KEGG	ADHERENS_JUNCTION	5792	ENSG00000142949
KEGG	ADHERENS_JUNCTION	2064	ENSG00000141736
KEGG	ADHERENS_JUNCTION	5787	ENSG00000127329
KEGG	ADHERENS_JUNCTION	7048	ENSG00000163513
KEGG	ADHERENS_JUNCTION	999	ENSG00000039068
KEGG	ADHERENS_JUNCTION	7046	ENSG00000106799
KEGG	ADHERENS_JUNCTION	10810	ENSG00000132970
KEGG	ADHERENS_JUNCTION	1495	ENSG00000044115
KEGG	ADHERENS_JUNCTION	51176	ENSG00000138795
KEGG	ADHERENS_JUNCTION	4233	ENSG00000105976
KEGG	ADHERENS_JUNCTION	1956	ENSG00000146648
KEGG	ADHERENS_JUNCTION	4087	ENSG00000175387
KEGG	ADHERENS_JUNCTION	4088	ENSG00000166949
KEGG	ADHERENS_JUNCTION	1499	ENSG00000168036
KEGG	ADHERENS_JUNCTION	5770	ENSG00000196396
KEGG	ADHERENS_JUNCTION	998	ENSG00000070831
KEGG	ADHERENS_JUNCTION	10458	ENSG00000175866
KEGG	ADHERENS_JUNCTION	29119	ENSG00000183230
KEGG	ADHERENS_JUNCTION	71	ENSG00000184009
KEGG	ADHERENS_JUNCTION	6615	ENSG00000124216
KEGG	ADHERENS_JUNCTION	5881	ENSG00000169750
KEGG	ADHERENS_JUNCTION	5595	ENSG00000102882
KEGG	ADHERENS_JUNCTION	87	ENSG00000072110
KEGG	ADHERENS_JUNCTION	60	ENSG00000075624
KEGG	ADHERENS_JUNCTION	6934	ENSG00000148737
KEGG	ADHERENS_JUNCTION	5795	ENSG00000149177
KEGG	ADHERENS_JUNCTION	89	ENSG00000248746
KEGG	ADHERENS_JUNCTION	88	ENSG00000077522
KEGG	ADHERENS_JUNCTION	8936	ENSG00000112290
KEGG	ADHERENS_JUNCTION	8826	ENSG00000140575
KEGG	ADHERENS_JUNCTION	3643	ENSG00000171105
KEGG	ADHERENS_JUNCTION	10163	ENSG00000158195
KEGG	ADHERENS_JUNCTION	6932	ENSG00000081059
KEGG	ADHERENS_JUNCTION	81	ENSG00000130402
KEGG	ADHERENS_JUNCTION	56288	ENSG00000148498
KEGG	ADHERENS_JUNCTION	117178	ENSG00000117155
KEGG	ADHERENS_JUNCTION	2033	ENSG00000100393
KEGG	ADHERENS_JUNCTION	10580	ENSG00000095637
KEGG	ADHERENS_JUNCTION	5880	ENSG00000128340
KEGG	ADHERENS_JUNCTION	4089	ENSG00000141646
KEGG	ADHERENS_JUNCTION	1459	ENSG00000070770
KEGG	ADHERENS_JUNCTION	5797	ENSG00000173482
KEGG	ADHERENS_JUNCTION	7525	ENSG00000176105
KEGG	ADHERENS_JUNCTION	2260	ENSG00000077782
KEGG	ADHERENS_JUNCTION	1460	ENSG00000204435
KEGG	ADHERENS_JUNCTION	52	ENSG00000143727
KEGG	ADHERENS_JUNCTION	5594	ENSG00000100030
KEGG	ADHERENS_JUNCTION	2534	ENSG00000010810
KEGG	ADHERENS_JUNCTION	2241	ENSG00000151422
KEGG	ADHERENS_JUNCTION	8976	ENSG00000106299
KEGG	ADHERENS_JUNCTION	3480	ENSG00000140443
